category,job
Production Occupations,Sewing Machine Operators
Production Occupations,Shoe and Leather Workers and Repairers
Production Occupations,Shoe Machine Operators and Tenders
Production Occupations,Slaughterers and Meat Packers
Production Occupations,Solderers and Brazers
Production Occupations,Stationary Engineers and Boiler Operators
Production Occupations,"Stone Cutters and Carvers, Manufacturing"
Production Occupations,Structural Metal Fabricators and Fitters
Production Occupations,"Tailors, Dressmakers, and Custom Sewers"
Production Occupations,Team Assemblers
Production Occupations,Textile Bleaching and Dyeing Machine Operators and Tenders
Production Occupations,"Textile Cutting Machine Setters, Operators, and Tenders"
Production Occupations,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
Production Occupations,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Production Occupations,"Textile, Apparel, and Furnishings Workers, All Other"
Production Occupations,Timing Device Assemblers and Adjusters
Production Occupations,Tire Builders
Production Occupations,Tool and Die Makers
Production Occupations,"Tool Grinders, Filers, and Sharpeners"
Production Occupations,Upholsterers
Production Occupations,Water and Wastewater Treatment Plant and System Operators
Production Occupations,"Welders, Cutters, and Welder Fitters"
Production Occupations,"Welders, Cutters, Solderers, and Brazers"
Production Occupations,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Production Occupations,"Woodworkers, All Other"
Production Occupations,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Protective Service Occupations,Animal Control Workers
Protective Service Occupations,Bailiffs
Protective Service Occupations,Correctional Officers and Jailers
Protective Service Occupations,Criminal Investigators and Special Agents
Protective Service Occupations,Crossing Guards
Protective Service Occupations,Detectives and Criminal Investigators
Protective Service Occupations,Fire Inspectors
Protective Service Occupations,Fire Inspectors and Investigators
Protective Service Occupations,Fire Investigators
Protective Service Occupations,Firefighters
Protective Service Occupations,First-Line Supervisors of Correctional Officers
Protective Service Occupations,First-Line Supervisors of Fire Fighting and Prevention Workers
Protective Service Occupations,First-Line Supervisors of Police and Detectives
Protective Service Occupations,"First-Line Supervisors of Protective Service Workers, All Other"
Protective Service Occupations,Fish and Game Wardens
Protective Service Occupations,Forest Fire Fighting and Prevention Supervisors
Protective Service Occupations,Forest Fire Inspectors and Prevention Specialists
Protective Service Occupations,Forest Firefighters
Protective Service Occupations,Gaming Surveillance Officers and Gaming Investigators
Protective Service Occupations,Immigration and Customs Inspectors
Protective Service Occupations,Intelligence Analysts
Protective Service Occupations,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Protective Service Occupations,Municipal Fire Fighting and Prevention Supervisors
Protective Service Occupations,Municipal Firefighters
Protective Service Occupations,Parking Enforcement Workers
Protective Service Occupations,Police and Sheriff's Patrol Officers
Protective Service Occupations,Police Detectives
Protective Service Occupations,Police Identification and Records Officers
Protective Service Occupations,Police Patrol Officers
Protective Service Occupations,Private Detectives and Investigators
Protective Service Occupations,"Protective Service Workers, All Other"
Protective Service Occupations,Retail Loss Prevention Specialists
Protective Service Occupations,Security Guards
Protective Service Occupations,Sheriffs and Deputy Sheriffs
Protective Service Occupations,Transit and Railroad Police
Protective Service Occupations,Transportation Security Screeners
Sales and Related Occupations,Advertising Sales Agents
Sales and Related Occupations,Cashiers
Sales and Related Occupations,Counter and Rental Clerks
Sales and Related Occupations,Demonstrators and Product Promoters
Sales and Related Occupations,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
Sales and Related Occupations,Energy Brokers
Sales and Related Occupations,First-Line Supervisors of Non-Retail Sales Workers
Sales and Related Occupations,First-Line Supervisors of Retail Sales Workers
Sales and Related Occupations,Gaming Change Persons and Booth Cashiers
Sales and Related Occupations,Insurance Sales Agents
Sales and Related Occupations,Models
Sales and Related Occupations,Parts Salespersons
Sales and Related Occupations,Real Estate Brokers
Sales and Related Occupations,Real Estate Sales Agents
Sales and Related Occupations,Retail Salespersons
Sales and Related Occupations,"Sales Agents, Financial Services"
Sales and Related Occupations,"Sales Agents, Securities and Commodities"
Sales and Related Occupations,"Sales and Related Workers, All Other"
Sales and Related Occupations,Sales Engineers
Sales and Related Occupations,"Sales Representatives, Services, All Other"
Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Sales and Related Occupations,Securities and Commodities Traders
Sales and Related Occupations,"Securities, Commodities, and Financial Services Sales Agents"
Sales and Related Occupations,Solar Sales Representatives and Assessors
Sales and Related Occupations,Telemarketers
Sales and Related Occupations,Travel Agents
